{304,344,82,632,634,923,391,335,65,719,680,942},
{313,310,59,635,635,924,395,335,66,716,681,944},
{323,277,40,638,635,924,398,335,67,713,682,946},
{332,246,24,642,635,924,401,336,68,710,683,947},
{342,221,13,645,635,925,404,336,69,707,684,949},
{352,203,5,649,635,925,408,337,70,704,685,950},
{362,193,1,652,635,925,411,338,71,701,685,952},
{372,191,0,655,635,925,414,338,72,698,686,953},
{383,198,3,659,635,925,417,339,73,694,687,954},
{393,213,9,662,635,925,420,340,75,691,687,955},
{402,236,19,665,635,925,424,341,76,688,688,956},
{412,264,33,669,635,924,427,342,78,685,688,957},
{422,296,51,672,635,924,430,343,79,681,689,958},
{431,331,73,675,635,924,433,344,81,678,689,958},
{432,344,81,679,634,923,429,325,69,675,690,959},
{429,343,79,682,634,922,420,291,48,671,690,959},
{426,342,77,685,634,922,411,259,31,668,690,960},
{423,341,76,689,633,921,401,231,17,665,690,960},
{420,340,74,692,633,920,391,210,8,661,690,960},
{417,339,73,695,632,919,381,197,2,658,691,961},
{413,338,72,698,632,918,371,191,0,655,691,961},
{410,338,71,701,631,917,361,194,2,651,691,961},
{407,337,69,705,631,915,351,206,6,648,690,960},
{404,336,68,708,630,914,341,225,14,644,690,960},
{400,336,68,711,630,913,331,251,27,641,690,960},
{397,335,67,714,629,911,321,282,43,638,690,959},
{394,335,66,717,628,909,312,316,63,634,690,959},
{391,335,65,720,627,908,305,344,82,631,689,958},
{387,334,65,711,660,933,308,343,80,628,689,958},
{384,334,64,701,692,956,311,342,78,624,688,957},
{381,334,64,692,722,974,314,341,77,621,688,956},
{377,334,64,682,746,988,317,340,75,618,687,955},
{374,333,63,672,764,997,320,339,74,615,687,954},
{370,333,63,662,775,1003,323,339,72,611,686,953},
{367,333,63,652,776,1003,326,338,71,608,685,951},
{364,333,64,641,769,1000,330,337,70,605,684,950},
{360,334,64,631,754,992,333,337,69,602,684,949},
{357,334,64,622,732,980,336,336,68,599,683,947},
{354,334,64,612,704,963,339,336,67,596,682,946},
{350,334,65,602,673,943,343,335,66,593,681,944},
{347,335,65,593,641,918,346,335,66,590,682,944},
{344,335,66,592,628,909,349,334,65,599,716,966},
{340,335,67,595,629,911,353,334,65,609,750,985},
{337,336,68,598,629,912,356,334,64,618,779,1000},
{334,336,69,601,630,914,359,334,64,628,804,1012},
{331,337,70,604,631,915,363,334,64,638,822,1019},
{327,338,71,607,631,916,366,333,63,648,831,1023},
{324,338,72,611,632,917,369,333,63,658,832,1023},
{321,339,73,614,632,919,373,333,63,668,825,1021},
{318,340,75,617,633,920,376,334,64,678,810,1014},
{315,341,76,620,633,920,380,334,64,688,787,1004},
{312,342,78,624,634,921,383,334,64,698,758,990},
{308,343,79,627,634,922,386,334,65,707,725,972},
{305,344,81,630,634,923,390,334,65,717,691,950},
304,344,82,632,634,923,391,335,65,719,680,942
